"filename","title","source_page","author","license","license_url","download_url","mime","width","height"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0234_contraflow_bus_and_bike_lane_london.jpg","File:Contraflow Bus and Bike Lane London.jpg","https://commons.wikimedia.org/wiki/File%3AContraflow_Bus_and_Bike_Lane_London.jpg","Andrew Nash","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Contraflow_Bus_and_Bike_Lane_London.jpg/960px-Contraflow_Bus_and_Bike_Lane_London.jpg","image/jpeg","640","480"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0235_9298blue_lines_road_markings_sumulong_highway_18.jpg","File:9298Blue lines road markings Sumulong Highway 18.jpg","https://commons.wikimedia.org/wiki/File%3A9298Blue_lines_road_markings_Sumulong_Highway_18.jpg","Judgefloro","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/9298Blue_lines_road_markings_Sumulong_Highway_18.jpg/960px-9298Blue_lines_road_markings_Sumulong_Highway_18.jpg","image/jpeg","640","480"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0235_albuquerque_bike_lane_marker.jpg","File:Albuquerque bike lane marker.jpg","https://commons.wikimedia.org/wiki/File%3AAlbuquerque_bike_lane_marker.jpg","Kenneth C. Zirkel","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Albuquerque_bike_lane_marker.jpg/960px-Albuquerque_bike_lane_marker.jpg","image/jpeg","640","853"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0237_fubon_banking_center_and_obayashi_corporation_ta.jpg","File:Fubon Banking Center and Obayashi Corporation Taiwan Branch truck 20100721.jpg","https://commons.wikimedia.org/wiki/File%3AFubon_Banking_Center_and_Obayashi_Corporation_Taiwan_Branch_truck_20100721.jpg","Lord Koxinga","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Fubon_Banking_Center_and_Obayashi_Corporation_Taiwan_Branch_truck_20100721.jpg/960px-Fubon_Banking_Center_and_Obayashi_Corporation_Taiwan_Branch_truck_20100721.jpg","image/jpeg","640","427"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0237_road_markings_like_pickaxe.png","File:Road markings like pickaxe.png","https://commons.wikimedia.org/wiki/File%3ARoad_markings_like_pickaxe.png","Selixshiraii","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Road_markings_like_pickaxe.png/960px-Road_markings_like_pickaxe.png","image/png","640","853"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0238_route_shield_pavement_markings_for_interstate_hi.png","File:Route shield pavement markings for Interstate Highways 30 and 35E in Dallas.png","https://commons.wikimedia.org/wiki/File%3ARoute_shield_pavement_markings_for_Interstate_Highways_30_and_35E_in_Dallas.png","Federal Highway Administration","Public domain","","https://upload.wikimedia.org/wikipedia/commons/e/ee/Route_shield_pavement_markings_for_Interstate_Highways_30_and_35E_in_Dallas.png","image/png","541","334"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0239_2023_09_29_15_16_55_cross_patt_e_pavement_markin.jpg","File:2023-09-29 15 16 55 Cross pattée pavement marking a fire hydrant along Mountain View Road in the Mountainview section of Ewing Township, Mercer County, New Jersey.jpg","https://commons.wikimedia.org/wiki/File%3A2023-09-29_15_16_55_Cross_patt%C3%A9e_pavement_marking_a_fire_hydrant_along_Mountain_View_Road_in_the_Mountainview_section_of_Ewing_Township%2C_Mercer_County%2C_New_Jersey.jpg","Famartin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/2023-09-29_15_16_55_Cross_patt%C3%A9e_pavement_marking_a_fire_hydrant_along_Mountain_View_Road_in_the_Mountainview_section_of_Ewing_Township%2C_Mercer_County%2C_New_Jersey.jpg/960px-thumbnail.jpg","image/jpeg","640","853"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0240_cycle_path_on_valley_road_geograph_org_uk_740443.jpg","File:Cycle path on Valley Road - geograph.org.uk - 7404437.jpg","https://commons.wikimedia.org/wiki/File%3ACycle_path_on_Valley_Road_-_geograph.org.uk_-_7404437.jpg","DS Pugh","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Cycle_path_on_Valley_Road_-_geograph.org.uk_-_7404437.jpg/960px-Cycle_path_on_Valley_Road_-_geograph.org.uk_-_7404437.jpg","image/jpeg","640","427"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0241_sign_marking_entrance_to_roberttown_on_roberttow.jpg","File:Sign marking entrance to Roberttown on Roberttown Lane, Liversedge - geograph.org.uk - 6250569.jpg","https://commons.wikimedia.org/wiki/File%3ASign_marking_entrance_to_Roberttown_on_Roberttown_Lane%2C_Liversedge_-_geograph.org.uk_-_6250569.jpg","habiloid","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Sign_marking_entrance_to_Roberttown_on_Roberttown_Lane%2C_Liversedge_-_geograph.org.uk_-_6250569.jpg/960px-Sign_marking_entrance_to_Roberttown_on_Roberttown_Lane%2C_Liversedge_-_geograph.org.uk_-_6250569.jpg","image/jpeg","640","445"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0242_contraflow_bus_and_bike_lane_london.jpg","File:Contraflow Bus and Bike Lane London.jpg","https://commons.wikimedia.org/wiki/File%3AContraflow_Bus_and_Bike_Lane_London.jpg","Andrew Nash","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Contraflow_Bus_and_Bike_Lane_London.jpg/960px-Contraflow_Bus_and_Bike_Lane_London.jpg","image/jpeg","640","480"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0243_cycle_path_along_valley_road_geograph_org_uk_740.jpg","File:Cycle path along Valley Road - geograph.org.uk - 7404453.jpg","https://commons.wikimedia.org/wiki/File%3ACycle_path_along_Valley_Road_-_geograph.org.uk_-_7404453.jpg","DS Pugh","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Cycle_path_along_Valley_Road_-_geograph.org.uk_-_7404453.jpg/960px-Cycle_path_along_Valley_Road_-_geograph.org.uk_-_7404453.jpg","image/jpeg","640","427"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0244_albuquerque_bike_lane_marker.jpg","File:Albuquerque bike lane marker.jpg","https://commons.wikimedia.org/wiki/File%3AAlbuquerque_bike_lane_marker.jpg","Kenneth C. Zirkel","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Albuquerque_bike_lane_marker.jpg/960px-Albuquerque_bike_lane_marker.jpg","image/jpeg","640","853"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0245_cycle_path_along_hillam_road_geograph_org_uk_740.jpg","File:Cycle path along Hillam Road - geograph.org.uk - 7404477.jpg","https://commons.wikimedia.org/wiki/File%3ACycle_path_along_Hillam_Road_-_geograph.org.uk_-_7404477.jpg","DS Pugh","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Cycle_path_along_Hillam_Road_-_geograph.org.uk_-_7404477.jpg/960px-Cycle_path_along_Hillam_Road_-_geograph.org.uk_-_7404477.jpg","image/jpeg","640","427"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0246_road_markings_like_pickaxe.png","File:Road markings like pickaxe.png","https://commons.wikimedia.org/wiki/File%3ARoad_markings_like_pickaxe.png","Selixshiraii","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Road_markings_like_pickaxe.png/960px-Road_markings_like_pickaxe.png","image/png","640","853"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0247_cycle_path_along_canal_road_geograph_org_uk_7404.jpg","File:Cycle path along Canal Road - geograph.org.uk - 7404489.jpg","https://commons.wikimedia.org/wiki/File%3ACycle_path_along_Canal_Road_-_geograph.org.uk_-_7404489.jpg","DS Pugh","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Cycle_path_along_Canal_Road_-_geograph.org.uk_-_7404489.jpg/960px-Cycle_path_along_Canal_Road_-_geograph.org.uk_-_7404489.jpg","image/jpeg","640","427"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0248_bus_stop_along_stanley_road_geograph_org_uk_7404.jpg","File:Bus stop along Stanley Road - geograph.org.uk - 7404493.jpg","https://commons.wikimedia.org/wiki/File%3ABus_stop_along_Stanley_Road_-_geograph.org.uk_-_7404493.jpg","DS Pugh","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Bus_stop_along_Stanley_Road_-_geograph.org.uk_-_7404493.jpg/960px-Bus_stop_along_Stanley_Road_-_geograph.org.uk_-_7404493.jpg","image/jpeg","640","427"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0249_exit_arrow_road_marking_in_park_ride_lot_framing.jpg","File:Exit arrow road marking in Park & Ride lot, Framingham MA, 2025-11-19.jpg","https://commons.wikimedia.org/wiki/File%3AExit_arrow_road_marking_in_Park_%26_Ride_lot%2C_Framingham_MA%2C_2025-11-19.jpg","Peter Cooper Jr.","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Exit_arrow_road_marking_in_Park_%26_Ride_lot%2C_Framingham_MA%2C_2025-11-19.jpg/960px-Exit_arrow_road_marking_in_Park_%26_Ride_lot%2C_Framingham_MA%2C_2025-11-19.jpg","image/jpeg","640","640"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0251_cycle_path_on_valley_road_geograph_org_uk_740443.jpg","File:Cycle path on Valley Road - geograph.org.uk - 7404437.jpg","https://commons.wikimedia.org/wiki/File%3ACycle_path_on_Valley_Road_-_geograph.org.uk_-_7404437.jpg","DS Pugh","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Cycle_path_on_Valley_Road_-_geograph.org.uk_-_7404437.jpg/960px-Cycle_path_on_Valley_Road_-_geograph.org.uk_-_7404437.jpg","image/jpeg","640","427"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0252_cycle_path_along_valley_road_geograph_org_uk_740.jpg","File:Cycle path along Valley Road - geograph.org.uk - 7404453.jpg","https://commons.wikimedia.org/wiki/File%3ACycle_path_along_Valley_Road_-_geograph.org.uk_-_7404453.jpg","DS Pugh","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Cycle_path_along_Valley_Road_-_geograph.org.uk_-_7404453.jpg/960px-Cycle_path_along_Valley_Road_-_geograph.org.uk_-_7404453.jpg","image/jpeg","640","427"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0253_cycle_path_along_hillam_road_geograph_org_uk_740.jpg","File:Cycle path along Hillam Road - geograph.org.uk - 7404477.jpg","https://commons.wikimedia.org/wiki/File%3ACycle_path_along_Hillam_Road_-_geograph.org.uk_-_7404477.jpg","DS Pugh","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Cycle_path_along_Hillam_Road_-_geograph.org.uk_-_7404477.jpg/960px-Cycle_path_along_Hillam_Road_-_geograph.org.uk_-_7404477.jpg","image/jpeg","640","427"
"data/samples/web_lane_images/wikimedia_batch/web_lane_0254_cycle_path_along_canal_road_geograph_org_uk_7404.jpg","File:Cycle path along Canal Road - geograph.org.uk - 7404489.jpg","https://commons.wikimedia.org/wiki/File%3ACycle_path_along_Canal_Road_-_geograph.org.uk_-_7404489.jpg","DS Pugh","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Cycle_path_along_Canal_Road_-_geograph.org.uk_-_7404489.jpg/960px-Cycle_path_along_Canal_Road_-_geograph.org.uk_-_7404489.jpg","image/jpeg","640","427"
