input_path,output_path,status,line_segments,width,height,message
data/samples/web_lane_images/wikimedia_batch/web_lane_0020_cautionary_road_markings_in_copse_lane_geograph.jpg,screenshots/web_lane_batch/0023_wikimedia_batch_web_lane_0020_cautionary_road_markings_in_copse_lane_geograph.png,PASS,20,640,455,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0021_new_road_markings_oakley_lane_geograph_org_uk_25.jpg,screenshots/web_lane_batch/0024_wikimedia_batch_web_lane_0021_new_road_markings_oakley_lane_geograph_org_uk_25.png,PASS,5,640,480,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0022_a45_lane_markings_and_signage_tollbar_end_juncti.jpg,screenshots/web_lane_batch/0025_wikimedia_batch_web_lane_0022_a45_lane_markings_and_signage_tollbar_end_juncti.png,PASS,14,640,480,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0023_park_road_one_way_road_with_cycle_lane_in_contra.jpg,screenshots/web_lane_batch/0026_wikimedia_batch_web_lane_0023_park_road_one_way_road_with_cycle_lane_in_contra.png,PASS,29,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0024_jogging_lane_road_markings_in_the_philippines_04.jpg,screenshots/web_lane_batch/0027_wikimedia_batch_web_lane_0024_jogging_lane_road_markings_in_the_philippines_04.png,PASS,39,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0025_bikeway_road_markings_in_the_philippines_bi_ang.jpg,screenshots/web_lane_batch/0028_wikimedia_batch_web_lane_0025_bikeway_road_markings_in_the_philippines_bi_ang.png,PASS,7,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0026_bikeway_road_markings_in_the_philippines_bi_ang.jpg,screenshots/web_lane_batch/0029_wikimedia_batch_web_lane_0026_bikeway_road_markings_in_the_philippines_bi_ang.png,PASS,3,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0027_stonytown_road_bicycle_and_pedestrian_lane_marki.jpg,screenshots/web_lane_batch/0030_wikimedia_batch_web_lane_0027_stonytown_road_bicycle_and_pedestrian_lane_marki.png,PASS,326,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0028_stonytown_road_bicycle_and_pedestrian_lane_marki.jpg,screenshots/web_lane_batch/0031_wikimedia_batch_web_lane_0028_stonytown_road_bicycle_and_pedestrian_lane_marki.png,PASS,412,960,720,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0029_cycle_lane_markings_on_lavernock_road_penarth_ge.jpg,screenshots/web_lane_batch/0032_wikimedia_batch_web_lane_0029_cycle_lane_markings_on_lavernock_road_penarth_ge.png,PASS,37,800,606,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0030_mount_pleasant_junction_cycle_lane_markings_king.jpg,screenshots/web_lane_batch/0033_wikimedia_batch_web_lane_0030_mount_pleasant_junction_cycle_lane_markings_king.png,PASS,294,960,640,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0031_road_markings_in_highercombe_lane_geograph_org_u.jpg,screenshots/web_lane_batch/0034_wikimedia_batch_web_lane_0031_road_markings_in_highercombe_lane_geograph_org_u.png,PASS,2,480,640,Processed successfully.
data/samples/web_lane_images/wikimedia_batch/web_lane_0032_new_road_markings_broad_lane_geograph_org_uk_647.jpg,screenshots/web_lane_batch/0035_wikimedia_batch_web_lane_0032_new_road_markings_broad_lane_geograph_org_uk_647.png,PASS,192,960,720,Processed successfully.
